Index-Nr;Modell-Nr;Aktf.;Bias;Lernrate;Mini Batch;Trainingszeit (s);Train-Cost;Val.-Cost;Test-Cost;Train-Quote;Val.-Quote;Test-Quote
248;5;relu;True;0.1;128;7.9;0.0631;0.0624;0.0625;0.4904;0.5033;0.4929
249;5;$\sigma$;False;0.1;128;7.9;0.0903;0.0903;0.0903;0.1188;0.1109;0.1219
250;5;$\sigma$;True;0.1;128;7.9;0.0897;0.0897;0.0897;0.1912;0.1957;0.1875
251;5;tanh;False;0.1;128;7.9;0.0509;0.0492;0.0506;0.6687;0.6889;0.6649
252;5;tanh;True;0.1;128;8.0;0.0469;0.0455;0.0462;0.7774;0.8011;0.7886
253;5;relu;False;0.01;8;37.2;0.0343;0.0324;0.0335;0.7882;0.8075;0.7916
254;5;relu;True;0.01;8;38.0;0.0451;0.0431;0.0438;0.6946;0.7133;0.7088
255;5;$\sigma$;False;0.01;8;37.4;0.0896;0.0896;0.0896;0.2361;0.2344;0.2406
256;5;$\sigma$;True;0.01;8;38.3;0.0906;0.0907;0.0906;0.1432;0.1368;147
257;5;tanh;False;0.01;8;37.8;0.0395;0.0374;0.0385;0.7717;0.7915;0.7838
258;5;tanh;True;0.01;8;38.4;0.0391;0.0373;38;0.8042;0.8279;0.8186
259;5;relu;False;0.01;32;14.4;0.0875;0.0874;0.0873;0.1645;0.1669;0.1761
260;5;relu;True;0.01;32;14.9;0.0812;0.0808;0.0809;0.3671;0.3744;0.3712
261;5;$\sigma$;False;0.01;32;14.6;0.0904;0.0904;0.0903;0.1242;0.1207;0.1244
262;5;$\sigma$;True;0.01;32;15.0;0.0907;0.0906;0.0907;0.1134;0.1199;0.1133
263;5;tanh;False;0.01;32;15.0;0.0729;0.0726;0.0725;0.4859;0.5023;0.4921
264;5;tanh;True;0.01;32;15.1;0.0704;0.0697;0.0702;0.54;559;0.5448
265;5;relu;False;0.01;128;8.1;89;0.0891;0.0891;0.1729;0.1718;0.1732
266;5;relu;True;0.01;128;8.2;0.0889;0.0888;0.0887;0.1968;0.2041;0.2049
267;5;$\sigma$;False;0.01;128;8.2;0.0914;0.0913;0.0915;0.0988;0.0992;0.0981
268;5;$\sigma$;True;0.01;128;8.3;0.0926;0.0925;0.0927;0.0986;0.0991;98
269;5;tanh;False;0.01;128;8.3;0.0873;0.0874;87;0.2459;0.2434;0.2589
270;5;tanh;True;0.01;128;8.4;0.0839;0.0838;0.0838;358;0.3587;358
271;6;relu;False;1;8;34.7;0.1796;0.1794;0.1798;0.1021;0.1031;0.1012
272;6;relu;True;1;8;35.5;0.1573;0.1577;0.1578;213;0.2109;0.2107
273;6;$\sigma$;False;1;8;35.0;0.0131;0.0122;0.0127;0.9155;0.9209;0.9174
274;6;$\sigma$;True;1;8;35.9;0.0132;0.0126;0.0131;0.9148;0.9174;0.9157
275;6;tanh;False;1;8;35.0;0.0112;0.0109;0.0113;0.9282;0.9276;0.9278
276;6;tanh;True;1;8;36.2;0.0112;0.0112;0.0119;0.9288;0.9285;0.9238
